Questions,Correct_answer,hallucinated_answer
Who discovered gravity?,Isaac Newton,Albert Einstein
When did the Titanic sink?,1912,1910
What is the capital of France?,Paris,Lyon
Who was the first President of the United States?,George Washington,Thomas Jefferson
What is the boiling point of water in Celsius?,100°C,90°C
Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo
What is the chemical symbol for gold?,Au,Go
Who wrote To Kill a Mockingbird?,Harper Lee,Mark Twain
When did World War II end?,1945,1944
Who was the first man on the moon?,Neil Armstrong,Buzz Aldrin
What is the largest planet in our solar system?,Jupiter,Saturn
What is the square root of 144?,12,14
Who invented the light bulb?,Thomas Edison,Nikola Tesla
What is the capital of Japan?,Tokyo,Osaka
What year did the Berlin Wall fall?,1989,1991
What is the smallest prime number?,2,1
Who is known as the father of computers?,Charles Babbage,Alan Turing
What is the freezing point of water in Fahrenheit?,32°F,0°F
Which gas do plants absorb from the atmosphere?,Carbon dioxide,Oxygen
What organ pumps blood through the body?,Heart,Liver
What is the currency of the United Kingdom?,Pound Sterling,Euro
Which planet is known as the Red Planet?,Mars,Venus
What is the main language spoken in Brazil?,Portuguese,Spanish
How many continents are there on Earth?,7,6
Who discovered penicillin?,Alexander Fleming,Louis Pasteur
What is the longest river in the world?,Nile River,Amazon River
What is the largest mammal on Earth?,Blue Whale,Elephant
What does DNA stand for?,Deoxyribonucleic Acid,Deoxyribose Nucleic Acid
Who developed the theory of relativity?,Albert Einstein,Isaac Newton
How many bones are in the adult human body?,206,208
Which ocean is the largest?,Pacific Ocean,Atlantic Ocean
What is the capital of Canada?,Ottawa,Toronto
What is the primary ingredient in guacamole?,Avocado,Tomato
What is the hardest natural substance on Earth?,Diamond,Quartz
Who was the first female Prime Minister of the UK?,Margaret Thatcher,Theresa May
In what year did India gain independence?,1947,1948
What element does 'O' represent on the periodic table?,Oxygen,Osmium
What country has the largest population?,China,India
What is the tallest mountain in the world?,Mount Everest,K2
What is the largest desert in the world?,Antarctica,Sahara
What is the capital of Australia?,Canberra,Sydney
What is the speed of light?,"299,792,458 m/s","300,000,000 m/s"
Who wrote 1984?,George Orwell,Aldous Huxley
Which blood type is known as the universal donor?,O negative,AB positive
What is the distance between the Earth and the Sun?,93 million miles,95 million miles
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Leonardo da Vinci
What is the capital of Russia?,Moscow,St. Petersburg
How many players are on a soccer team?,11,10
What is the national animal of China?,Giant Panda,Dragon
What is HâO more commonly known as?,Water,Hydrogen Peroxide
Who was the first woman in space?,Valentina Tereshkova,Sally Ride
What is the tallest building in the world?,Burj Khalifa,Empire State Building
Who wrote The Odyssey?,Homer,Virgil
What is the name of the galaxy we live in?,Milky Way,Andromeda
How many hearts does an octopus have?,3,2
What year was the Declaration of Independence signed?,1776,1775
What is the chemical symbol for iron?,Fe,Ir
Which animal is known as the King of the Jungle?,Lion,Tiger
How many teeth does an adult human have?,32,30
What is the capital of South Korea?,Seoul,Busan
Which continent is known as the Dark Continent?,Africa,South America
What does 'HTTP' stand for?,HyperText Transfer Protocol,HyperText Transmission Protocol
What is the most spoken language in the world?,Mandarin Chinese,English
What is the tallest animal in the world?,Giraffe,Elephant
What do bees collect and use to make honey?,Nectar,Pollen
Which metal is liquid at room temperature?,Mercury,Lead
What is the main gas found in the air we breathe?,Nitrogen,Oxygen
Who wrote the Harry Potter series?,J.K. Rowling,J.R.R. Tolkien
How many colors are there in a rainbow?,7,6
What is the fastest land animal?,Cheetah,Lion
What is the most abundant element in the universe?,Hydrogen,Helium
Who is known as the Iron Man of India?,Sardar Vallabhbhai Patel,Jawaharlal Nehru
What is the capital city of Egypt?,Cairo,Alexandria
Which planet has rings?,Saturn,Jupiter
What is the process by which plants make food?,Photosynthesis,Respiration
What is the chemical formula of table salt?,NaCl,KCl
What is the currency of Japan?,Yen,Won
Which is the coldest place on Earth?,Antarctica,Siberia
What is the capital of Italy?,Rome,Milan
Who wrote Pride and Prejudice?,Jane Austen,Charlotte BrontÃ«
How many legs does a spider have?,8,6
What is the name of the largest moon of Saturn?,Titan,Europa
What is the symbol for the element potassium?,K,P
What is the term for animals that eat only plants?,Herbivores,Carnivores
What is the smallest country in the world?,Vatican City,Monaco
What is the largest island in the world?,Greenland,Australia
What part of the plant conducts photosynthesis?,Leaves,Roots
Which scientist proposed the laws of motion?,Isaac Newton,Galileo Galilei
How many states are there in the USA?,50,52
What is the national flower of India?,Lotus,Rose
Who invented the telephone?,Alexander Graham Bell,Thomas Edison
What is the capital of Germany?,Berlin,Munich
What color is chlorophyll?,Green,Blue
What is the currency of the United States?,Dollar,Pound
What does the Richter scale measure?,Earthquake magnitude,Wind speed
Who is the Greek god of the sea?,Poseidon,Zeus
What is the name of our natural satellite?,Moon,Sun
What does a thermometer measure?,Temperature,Pressure
What are the three states of matter?,"Solid, Liquid, Gas","Solid, Liquid, Plasma"
Which bird is known for mimicking sounds?,Parrot,Crow
What is the capital of Argentina?,Buenos Aires,Sao Paulo
What is the main function of white blood cells?,Fighting infections,Carrying oxygen
