question,model_answer,label
Who discovered gravity?,Isaac Newton,1
Who discovered gravity?,Albert Einstein,0
When did the Titanic sink?,1912,1
When did the Titanic sink?,1910,0
What is the capital of France?,Paris,1
What is the capital of France?,Lyon,0
Who was the first President of the United States?,George Washington,1
Who was the first President of the United States?,Thomas Jefferson,0
What is the boiling point of water in Celsius?,100°C,1
What is the boiling point of water in Celsius?,90°C,0
Who painted the Mona Lisa?,Leonardo da Vinci,1
Who painted the Mona Lisa?,Michelangelo,0
What is the chemical symbol for gold?,Au,1
What is the chemical symbol for gold?,Go,0
Who wrote To Kill a Mockingbird?,Harper Lee,1
Who wrote To Kill a Mockingbird?,Mark Twain,0
When did World War II end?,1945,1
When did World War II end?,1944,0
Who was the first man on the moon?,Neil Armstrong,1
Who was the first man on the moon?,Buzz Aldrin,0
What is the largest planet in our solar system?,Jupiter,1
What is the largest planet in our solar system?,Saturn,0
What is the square root of 144?,12,1
What is the square root of 144?,14,0
Who invented the light bulb?,Thomas Edison,1
Who invented the light bulb?,Nikola Tesla,0
What is the capital of Japan?,Tokyo,1
What is the capital of Japan?,Osaka,0
What year did the Berlin Wall fall?,1989,1
What year did the Berlin Wall fall?,1991,0
What is the smallest prime number?,2,1
What is the smallest prime number?,1,0
Who is known as the father of computers?,Charles Babbage,1
Who is known as the father of computers?,Alan Turing,0
What is the freezing point of water in Fahrenheit?,32°F,1
What is the freezing point of water in Fahrenheit?,0°F,0
Which gas do plants absorb from the atmosphere?,Carbon dioxide,1
Which gas do plants absorb from the atmosphere?,Oxygen,0
What organ pumps blood through the body?,Heart,1
What organ pumps blood through the body?,Liver,0
What is the currency of the United Kingdom?,Pound Sterling,1
What is the currency of the United Kingdom?,Euro,0
Which planet is known as the Red Planet?,Mars,1
Which planet is known as the Red Planet?,Venus,0
What is the main language spoken in Brazil?,Portuguese,1
What is the main language spoken in Brazil?,Spanish,0
How many continents are there on Earth?,7,1
How many continents are there on Earth?,6,0
Who discovered penicillin?,Alexander Fleming,1
Who discovered penicillin?,Louis Pasteur,0
What is the longest river in the world?,Nile River,1
What is the longest river in the world?,Amazon River,0
What is the largest mammal on Earth?,Blue Whale,1
What is the largest mammal on Earth?,Elephant,0
What does DNA stand for?,Deoxyribonucleic Acid,1
What does DNA stand for?,Deoxyribose Nucleic Acid,0
Who developed the theory of relativity?,Albert Einstein,1
Who developed the theory of relativity?,Isaac Newton,0
How many bones are in the adult human body?,206,1
How many bones are in the adult human body?,208,0
Which ocean is the largest?,Pacific Ocean,1
Which ocean is the largest?,Atlantic Ocean,0
What is the capital of Canada?,Ottawa,1
What is the capital of Canada?,Toronto,0
What is the primary ingredient in guacamole?,Avocado,1
What is the primary ingredient in guacamole?,Tomato,0
What is the hardest natural substance on Earth?,Diamond,1
What is the hardest natural substance on Earth?,Quartz,0
Who was the first female Prime Minister of the UK?,Margaret Thatcher,1
Who was the first female Prime Minister of the UK?,Theresa May,0
In what year did India gain independence?,1947,1
In what year did India gain independence?,1948,0
What element does 'O' represent on the periodic table?,Oxygen,1
What element does 'O' represent on the periodic table?,Osmium,0
What country has the largest population?,China,1
What country has the largest population?,India,0
What is the tallest mountain in the world?,Mount Everest,1
What is the tallest mountain in the world?,K2,0
What is the largest desert in the world?,Antarctica,1
What is the largest desert in the world?,Sahara,0
What is the capital of Australia?,Canberra,1
What is the capital of Australia?,Sydney,0
What is the speed of light?,"299,792,458 m/s",1
What is the speed of light?,"300,000,000 m/s",0
Who wrote 1984?,George Orwell,1
Who wrote 1984?,Aldous Huxley,0
Which blood type is known as the universal donor?,O negative,1
Which blood type is known as the universal donor?,AB positive,0
What is the distance between the Earth and the Sun?,93 million miles,1
What is the distance between the Earth and the Sun?,95 million miles,0
