,input_text,label
97,Q: What is the name of the largest moon of Saturn? A: Titan,1
95,Q: Who painted the Mona Lisa? A: Michelangelo,0
30,Q: What is the primary ingredient in guacamole? A: Tomato,0
127,Q: Who invented the light bulb? A: Nikola Tesla,0
16,Q: Who was the first man on the moon? A: Neil Armstrong,1
174,Q: Who discovered penicillin? A: Alexander Fleming,1
86,Q: Who wrote 1984? A: Aldous Huxley,0
135,Q: How many players are on a soccer team? A: 11,1
124,Q: Who wrote Pride and Prejudice? A: Jane Austen,1
65,Q: What is the freezing point of water in Fahrenheit? A: 0°F,0
68,Q: What country has the largest population? A: India,0
128,Q: What is the square root of 144? A: 14,0
67,Q: Which planet is known as the Red Planet? A: Mars,1
76,Q: Which animal is known as the King of the Jungle? A: Lion,1
100,Q: What does a thermometer measure? A: Temperature,1
140,Q: Who wrote The Odyssey? A: Virgil,0
138,Q: What is the most abundant element in the universe? A: Helium,0
144,Q: What is the national flower of India? A: Lotus,1
84,Q: How many teeth does an adult human have? A: 30,0
82,Q: What is the tallest mountain in the world? A: K2,0
199,Q: What is the name of the galaxy we live in? A: Milky Way,1
93,Q: What does a thermometer measure? A: Pressure,0
38,Q: What is the capital city of Egypt? A: Cairo,1
24,Q: What is the tallest animal in the world? A: Elephant,0
96,Q: Which bird is known for mimicking sounds? A: Parrot,1
111,Q: What part of the plant conducts photosynthesis? A: Leaves,1
29,Q: What is the most spoken language in the world? A: Mandarin Chinese,1
19,Q: Which planet has rings? A: Saturn,1
60,Q: What element does 'O' represent on the periodic table? A: Osmium,0
155,Q: What is the distance between the Earth and the Sun? A: 95 million miles,0
168,Q: What does DNA stand for? A: Deoxyribonucleic Acid,1
90,Q: Which ocean is the largest? A: Atlantic Ocean,0
5,Q: What is the main language spoken in Brazil? A: Spanish,0
153,Q: Who invented the telephone? A: Alexander Graham Bell,1
118,Q: What is the main language spoken in Brazil? A: Portuguese,1
193,Q: What country has the largest population? A: China,1
143,Q: What color is chlorophyll? A: Green,1
190,Q: What is HâO more commonly known as? A: Hydrogen Peroxide,0
176,Q: What is the largest planet in our solar system? A: Saturn,0
73,Q: What is the symbol for the element potassium? A: P,0
173,Q: How many bones are in the adult human body? A: 206,1
98,Q: Who was the first President of the United States? A: George Washington,1
31,Q: Who was the first female Prime Minister of the UK? A: Margaret Thatcher,1
12,Q: What is the term for animals that eat only plants? A: Carnivores,0
35,Q: Who was the first woman in space? A: Valentina Tereshkova,1
120,Q: What year did the Berlin Wall fall? A: 1989,1
42,Q: What is the capital of Russia? A: St. Petersburg,0
75,Q: What is the capital of South Korea? A: Busan,0
197,Q: What does the Richter scale measure? A: Earthquake magnitude,1
139,Q: When did the Titanic sink? A: 1910,0
51,Q: What is the smallest country in the world? A: Vatican City,1
122,Q: How many hearts does an octopus have? A: 3,1
165,Q: What is the largest island in the world? A: Greenland,1
41,Q: Which bird is known for mimicking sounds? A: Crow,0
119,Q: Who is known as the Iron Man of India? A: Sardar Vallabhbhai Patel,1
114,Q: What is the capital of Italy? A: Rome,1
26,Q: Which scientist proposed the laws of motion? A: Isaac Newton,1
136,Q: What is the capital of Germany? A: Berlin,1
101,Q: What is the capital of France? A: Paris,1
112,Q: Who discovered gravity? A: Isaac Newton,1
2,Q: Which animal is known as the King of the Jungle? A: Tiger,0
77,Q: What is the capital of Japan? A: Tokyo,1
46,Q: What year was the Declaration of Independence signed? A: 1775,0
117,Q: What is the primary ingredient in guacamole? A: Avocado,1
145,Q: What does the Richter scale measure? A: Wind speed,0
85,Q: What is the capital city of Egypt? A: Alexandria,0
137,Q: Which planet is known as the Red Planet? A: Venus,0
36,Q: What is the most abundant element in the universe? A: Hydrogen,1
109,Q: What is the chemical symbol for iron? A: Ir,0
61,Q: What part of the plant conducts photosynthesis? A: Roots,0
22,Q: How many players are on a soccer team? A: 10,0
164,Q: Who wrote the Harry Potter series? A: J.K. Rowling,1
195,Q: What is the main function of white blood cells? A: Carrying oxygen,0
33,Q: What is the hardest natural substance on Earth? A: Quartz,0
11,Q: What is the name of the largest moon of Saturn? A: Europa,0
198,Q: In what year did India gain independence? A: 1948,0
162,Q: What element does 'O' represent on the periodic table? A: Oxygen,1
6,Q: What is the main gas found in the air we breathe? A: Nitrogen,1
27,Q: Which blood type is known as the universal donor? A: O negative,1
194,Q: Which continent is known as the Dark Continent? A: South America,0
